"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 22","102.102","111.351","112.709","102.102","12,84M","-8,31%"
"Mai 22","111.351","107.876","112.690","102.386","276,34M","3,22%"
"Abr 22","107.876","120.001","121.628","107.876","213,67M","-10,10%"
"Mar 22","119.999","113.143","120.900","107.781","279,08M","6,06%"
"Fev 22","113.142","112.143","115.735","109.125","235,49M","0,89%"
"Jan 22","112.144","104.823","113.057","100.850","258,10M","6,98%"
"Dez 21","104.822","101.916","109.493","100.727","234,06M","2,85%"
"Nov 21","101.916","103.514","108.669","100.075","236,34M","-1,53%"
"Out 21","103.501","110.980","114.927","102.854","243,86M","-6,74%"
"Set 21","110.979","118.793","119.942","107.520","231,61M","-6,57%"
"Ago 21","118.781","121.803","124.536","114.801","201,79M","-2,48%"
"Jul 21","121.801","126.802","129.620","121.748","161,31M","-3,94%"
"Jun 21","126.802","126.218","131.190","126.184","197,83M","0,46%"
"Mai 21","126.216","118.951","126.216","117.631","184,24M","6,16%"
"Abr 21","118.894","116.645","121.974","114.991","167,26M","1,94%"
"Mar 21","116.634","110.036","117.249","107.319","246,48M","6,00%"
"Fev 21","110.035","115.093","121.117","109.827","190,63M","-4,37%"
"Jan 21","115.068","119.024","125.324","114.887","186,73M","-3,32%"
"Dez 20","119.017","108.897","120.150","108.897","177,04M","9,30%"
"Nov 20","108.893","93.968","111.603","93.968","217,76M","15,90%"
"Out 20","93.952","94.604","102.218","93.387","198,14M","-0,69%"
"Set 20","94.603","99.382","103.226","93.408","190,35M","-4,80%"
"Ago 20","99.369","102.913","104.523","98.513","202,70M","-3,44%"
"Jul 20","102.912","95.062","105.704","95.062","221,52M","8,27%"
"Jun 20","95.056","87.395","97.694","86.837","232,33M","8,76%"
"Mai 20","87.403","80.501","88.091","75.697","220,36M","8,57%"
"Abr 20","80.506","73.011","83.598","67.803","209,52M","10,25%"
"Mar 20","73.020","104.260","108.804","61.691","270,52M","-29,90%"
"Fev 20","104.172","113.761","117.701","99.951","126,65M","-8,43%"
"Jan 20","113.761","115.652","119.593","112.826","122,06M","-1,63%"
"Dez 19","115.645","108.233","117.803","108.191","99,88M","6,85%"
"Nov 19","108.233","107.221","109.672","105.261","95,99M","0,95%"
"Out 19","107.220","104.745","108.408","99.826","103,19M","2,36%"
"Set 19","104.745","101.133","106.001","99.406","97,54M","3,57%"
"Ago 19","101.135","101.819","104.848","95.855","119,85M","-0,67%"
"Jul 19","101.812","100.974","106.650","100.073","97,40M","0,84%"
"Jun 19","100.967","97.036","102.617","95.686","90,98M","4,06%"
"Mai 19","97.030","96.339","97.992","89.409","101,11M","0,70%"
"Abr 19","96.353","95.423","97.610","92.338","93,19M","0,98%"
"Mar 19","95.415","95.584","100.439","91.584","89,38M","-0,18%"
"Fev 19","95.584","97.396","98.589","93.424","97,94M","-1,86%"
"Jan 19","97.394","87.887","98.405","87.536","109,60M","10,82%"
"Dez 18","87.887","89.511","91.242","83.892","82,22M","-1,81%"
"Nov 18","89.504","87.428","90.246","84.030","90,78M","2,38%"
"Out 18","87.424","79.350","88.377","78.091","124,90M","10,19%"
"Set 18","79.342","76.676","80.107","74.275","67,45M","3,48%"
"Ago 18","76.678","79.213","81.792","74.876","83,19M","-3,21%"
"Jul 18","79.220","72.763","80.589","71.935","71,74M","8,88%"
"Jun 18","72.763","76.779","78.892","69.069","96,20M","-5,20%"
"Mai 18","76.754","86.111","86.678","75.337","99,40M","-10,87%"
"Abr 18","86.116","85.365","87.179","82.762","66,97M","0,88%"
"Mar 18","85.366","85.337","87.333","82.889","72,31M","0,01%"
"Fev 18","85.354","84.913","88.318","79.690","73,81M","0,52%"
"Jan 18","84.913","76.403","86.213","76.403","74,06M","11,14%"
"Dez 17","76.402","71.955","76.437","71.356","56,34M","6,16%"
"Nov 17","71.971","74.310","75.199","70.825","67,18M","-3,15%"
"Out 17","74.309","74.295","78.024","73.845","67,89M","0,02%"
"Set 17","74.294","70.848","76.420","70.846","71,06M","4,88%"
"Ago 17","70.835","65.925","71.506","65.925","70,28M","7,46%"
"Jul 17","65.920","62.901","66.048","62.035","55,45M","4,80%"
"Jun 17","62.900","62.712","63.637","60.544","67,37M","0,30%"
"Mai 17","62.712","65.404","68.792","60.315","89,45M","-4,12%"
"Abr 17","65.403","64.989","66.211","62.826","56,79M","0,64%"
"Mar 17","64.984","66.661","67.398","62.496","75,97M","-2,52%"
"Fev 17","66.662","64.687","69.488","63.740","58,53M","3,08%"
"Jan 17","64.671","60.227","66.594","59.371","61,92M","7,38%"
"Dez 16","60.227","61.906","61.936","56.829","65,99M","-2,71%"
"Nov 16","61.906","64.922","65.291","58.322","85,58M","-4,65%"
"Out 16","64.925","58.370","65.054","58.367","76,62M","11,23%"
"Set 16","58.367","57.902","60.311","56.459","70,19M","0,80%"
"Ago 16","57.901","57.309","59.418","55.696","83,45M","1,03%"
"Jul 16","57.308","51.540","57.474","50.825","77,32M","11,22%"
"Jun 16","51.527","48.468","51.812","48.067","81,39M","6,30%"
"Mai 16","48.472","53.910","54.113","48.292","81,20M","-10,09%"
"Abr 16","53.911","50.054","54.978","47.874","91,67M","7,70%"
"Mar 16","50.055","42.795","52.262","42.795","125,12M","16,97%"
"Fev 16","42.794","40.397","43.601","38.596","71,70M","5,91%"
"Jan 16","40.406","43.349","43.349","37.046","72,21M","-6,79%"
"Dez 15","43.350","45.121","47.142","43.137","66,35M","-3,92%"
"Nov 15","45.120","45.869","49.054","45.106","68,60M","-1,63%"
"Out 15","45.869","45.064","49.752","44.789","80,10M","1,80%"
"Set 15","45.059","46.625","49.396","43.767","81,48M","-3,36%"
"Ago 15","46.626","50.867","50.867","42.749","73,39M","-8,33%"
"Jul 15","50.865","53.081","53.456","48.624","66,97M","-4,17%"
"Jun 15","53.081","52.753","54.361","52.548","63,04M","0,61%"
"Mai 15","52.761","56.230","58.575","52.761","69,37M","-6,17%"
"Abr 15","56.229","51.186","56.965","51.186","81,12M","9,93%"
"Mar 15","51.150","51.580","52.319","47.905","79,89M","-0,84%"
